500 Reach (Kansas City, KS)
Roy E Holmes Elementary School (Wilmington, OH)
Roy Elementary (Roy, WA)
Roy High (Roy, NM)
Roy High (Roy, UT)
Roy High School (Roy, MT)
Roy J Smith Middle (Killeen, TX)
Roy Kelley Elementary School (Lockport, NY)
Roy Miller H S And Metro School Of Design (Corpus Christi, TX)
Royal Academy Education Inc. (Gray, ME)
Royal Early College H S (Brookshire, TX)
Royal H S (Brookshire, TX)
Royal High (Simi Valley, CA)
Royal High School (Royal City, WA)
Royal Hollow Academy (Miami, FL)
Royal Intermediate School (Royal City, WA)
Royal Live Oaks Academy Of The Arts And Sciences Charter Sch (Hardeeville, SC)
Royal Oak High School (Royal Oak, MI)
Royal Oaks Elementary (Visalia, CA)
Royal Palm Beach High School (Royal Palm Beach, FL)
Royal Palm Charter School (Palm Bay, FL)
Royal Palm Exceptional School Center (Fort Myers, FL)
Royal Palm School (Lantana, FL)
Royal Spring Middle School (Georgetown, KY)
Royal Sunset (Continuation) (Hayward, CA)
Royal Valley High (Hoyt, KS)
Royall Elementary (Florence, SC)
Royall High (Elroy, WI)
Royalmont Academy (Mason, OH)
Royals Academy Canton (Canton, IL)
Royals Academy Carthage (Carthage, IL)
Royals Academy Macomb (Macomb, IL)
Royals Rssp Canton (Canton, IL)
Royals Rssp Carthage (Carthage, IL)
Royals Rssp Macomb (Macomb, IL)
Royalton Elementary (Royalton, MN)
Royalton High School (Royalton, MN)
Royalton-Hartland Elementary School (Gasport, NY)
Royalton-Hartland High School (Middleport, NY)
Royalview Elementary School (Willowick, OH)
Roycemore School (Evanston, IL)
Royer-Greaves School For Blind (Paoli, PA)
Royse City H S (Royse City, TX)
Royster Middle School (Chanute, KS)
Royston Elementary School (Royston, GA)
Rralc: Dgf Secondary 2164 (Moorhead, MN)
Rrisd Early College H S (Round Rock, TX)
Rsd High School (Phoenix, AZ)
Rsm Louisville Llc (Louisville, KY)
Rtc School (Boys Town, NE)
Rtr Alp (Tyler, MN)
Rtr High School (Tyler, MN)
Ruahmah J Hutchings Elementary (Howell, MI)
Ruben A Cirillo High School (Walworth, NY)
Ruben C Rodriguez El (Edcouch, TX)
Ruben Hinojosa El (Mercedes, TX)
Ruben Rodriguez Figueroa (Naranjito, PR)
Ruben S. Ayala High (Chino Hills, CA)
Ruben Salazar Continuation (Pico Rivera, CA)
Ruben Yancy Alternative School (Ashville, AL)
Rubidoux High (Jurupa Valley, CA)
Ruby Van Meter (Des Moines, IA)
Ruch Outdoor Community School (Jacksonville, OR)
Rucker Elementary (Gilroy, CA)
Ruder Elementary (Columbia Falls, MT)
Rudolf Steiner School (New York, NY)
Rudolf Steiner School Of Ann Arbor (Ann Arbor, MI)
Rudolph Elem Learning Center (Chicago, IL)
Rudolph Matas School (Metairie, LA)
Rudolph Rivera Middle (Merced, CA)
Rudsdale Continuation (Oakland, CA)
Rudyard Area Schools (Rudyard, MI)
Rue Elementary School (Council Bluffs, IA)
Rufino Mendoza Sr El (Fort Worth, TX)
Rufino Vigo (Humacao, PR)
Rufus E. Payne Elementary School (Jacksonville, FL)
Rugby High School (Rugby, ND)
Ruidoso High (Ruidoso, NM)
Ruiz Elem School (Chicago, IL)
Rule School (Rule, TX)
Rulon M Ellis Elementary School (Chubbuck, ID)
Rum River East Education Program (Cambridge, MN)
Rum River North (Milaca, MN)
Rum River Online (Milaca, MN)
Rum River South (Cambridge, MN)
Rumson-Fair Haven Regional High School (Rumson, NJ)
Rundle Richard Es (Las Vegas, NV)
Rundlett Middle School (Concord, NH)
Runestone Regional Learning Center (Alexandria, MN)
Runge El (Runge, TX)
Runge H S (Runge, TX)
Runnells Elementary (Runnells, IA)
Runnels Academy (Big Spring, TX)
Running Creek Elementary School (Elizabeth, CO)
Runyan El (Conroe, TX)
Rupert A Nock Middle (Newburyport, MA)
Rupert El Sch (Pottstown, PA)
Rural Point Elem (Mechanicsville, VA)
Rural Retreat High (Rural Retreat, VA)
Rural Special High School (Fox, AR)
Rural Vale Elementary (Tellico Plains, TN)
Rusd Montessori (Racine, WI)
Rush City Secondary (Rush City, MN)
Rush El (Lubbock, TX)
Rush Springs Es (Rush Springs, OK)
Rush Springs HS (Rush Springs, OK)
Rush Strong Elementary (Strawberry Plains, TN)
Rush-Henrietta Senior High School (Henrietta, NY)
Rushford-Peterson Senior High (Rushford, MN)
Rushville Consolidated High School (Rushville, IN)
Rushville Elem. (Rushville, MO)
Rushville-Industry High School (Rushville, IL)
Rushwood Elementary School (Northfield, OH)
Rusk El (Midland, TX)
Rusk H S (Rusk, TX)
Rusk Int (Rusk, TX)
Ruskin Christian School (Ruskin, FL)
Ruskin High School (Kansas City, MO)
Russell Area Technology Center (Russell, KY)
Russell B Walter El Sch (Tioga, PA)
Russell County High School (Russell Springs, KY)
Russell County High School (Seale, AL)
Russell Elem. (Hazelwood, MO)
Russell High (Russell, KS)
Russell High School (Russell, KY)
Russell Independent Alternative School (Russell, KY)
Russell Jones Ed Center (Kansas City, MO)
Russell Middle School (Colorado Springs, CO)
Russell P Schupmann El (Glenn Heights, TX)
Russell School (Gray, ME)
Russell St Elementary (Littleton, MA)
Russellville City Career Tech Center (Russellville, AL)
Russellville High (Russellville, MO)
Russellville High School (Russellville, AL)
Russellville High School (Russellville, AR)
Russellville High School (Russellville, KY)
Russellville Middle School (Russellville, AL)
Russellville Middle School (Russellville, AR)
Russia High School (Russia, OH)
Russian Mission School (Russian Mission, AK)
Rustburg High (Rustburg, VA)
Rustic Acres Elementary - 04 (Madison, SD)
Rustic Oak El (Pearland, TX)
Ruston High School (Ruston, LA)
Ruston Junior High School (Ruston, LA)
Rutgers Preparatory School (Somerset, NJ)
Ruth Ann Monroe Primary (Hagerstown, MD)
Ruth Cherry Int (Royse City, TX)
Ruth Clark Elementary K-5 (Wichita, KS)
Ruth Evelyn Cruz Santos (Cidra, PR)
Ruth Fisher Middle School (Tonopah, AZ)
Ruth Hoppin School (Three Rivers, MI)
Ruth Jones Mcclendon Middle (San Antonio, TX)
Ruth Mcgregor Elementary School (Sand Creek, MI)
Ruth N. Upson Elementary School (Jacksonville, FL)
Ruth Owens Kruse Education Center (Miami, FL)
Ruth Parker Eason School (Millersville, MD)
Ruth Powell Elementary School (Safford, AZ)
Ruth Rains Middle School (Cross City, FL)
Rutherford B Hayes High School (Delaware, OH)
Rutherford B. Hayes Elementary School (Marion, OH)
Rutherford County Adult High School (Murfreesboro, TN)
Rutherford County Virtual School (Smyrna, TN)
Rutherford High School (Panama City, FL)
Rutherford High School (Rutherford, NJ)
Rutherford Opportunity Center (Forest City, NC)
Ruthven-Ayrshire High School (Ruthven, IA)
Rutland Area Christian School (Rutland, VT)
Rutland High School - 01 (Rutland, SD)
Rutland High School (Macon, GA)
Rutland Intermediate School (Rutland, VT)
Rutland Jr. High - 03 (Rutland, SD)
Rutland Senior High School (Rutland, VT)
Ryan Banks Academy (Chicago, IL)
Ryan Elementary School (Baton Rouge, LA)
Ryan H S (Denton, TX)
Ryan HS (Ryan, OK)
Rye Country Day School (Rye, NY)
Rye Cove High (Duffield, VA)
Rye Elementary School (Rye, CO)
Rye High School (Rye, CO)
Rye High School (Rye, NY)
Rye Middle School (Rye, NY)
Rye Neck Senior High School (Mamaroneck, NY)
Ryegate High School (Ryegate, MT)
Ryland Heights Elementary School (Covington, KY)
