18+ Program (Hastings, NE)
Ponchatoula High School (Ponchatoula, LA)
Pond Creek-Hunter HS (Pond Creek, OK)
Pond Elem. (Wildwood, MO)
Ponder H S (Ponder, TX)
Pondera Colony School (Valier, MT)
Ponderosa El (Houston, TX)
Ponderosa Elementary (Bend, OR)
Ponderosa Elementary (Paradise, CA)
Ponderosa Elementary School (Meridian, ID)
Ponderosa High (Shingle Springs, CA)
Ponderosa High School (Flagstaff, AZ)
Ponderosa High School (Parker, CO)
Ponderosa School (Billings, MT)
Ponte Vedra High School (Ponte Vedra, FL)
Pontiac Academy For Excellence (Pontiac, MI)
Pontiac Elementary (Elgin, SC)
Pontiac High School (Pontiac, IL)
Pontiac High School (Pontiac, MI)
Pontiac Middle School (Pontiac, MI)
Pontotoc Co Alternative Program (Pontotoc, MS)
Pontotoc High School (Pontotoc, MS)
Pontotoc Ridge Career & Tech. Cnt. (Pontotoc, MS)
Poolesville High (Poolesville, MD)
Poolville H S (Poolville, TX)
Pope Co High School (Golconda, IL)
Pope County Elementary School (Golconda, IL)
Pope Francis Preparatory School (Springfield, MA)
Pope High School (Marietta, GA)
Pope John Paul Ii Catholic H S (Greenville, NC)
Pope John Paul Ii Catholic High School (Slidell, LA)
Pope John Paul Ii High School (Lacey, WA)
Pope John Paul Ii High School (Royersford, PA)
Pope John Paul Ii Preparatory School (Hendersonville, TN)
Pope John Xxiii High School (Sparta, NJ)
Pope John Xxiii/St.Boniface Schools (Elgin, NE)
Pope Valley Elementary (Pope Valley, CA)
Poplar Avenue Elementary (Oroville, CA)
Poplar Bluff Early Childhood C (Poplar Bluff, MO)
Poplar Bluff High (Poplar Bluff, MO)
Poplar Bluff Tech. Career Ctr. (Poplar Bluff, MO)
Poplar Bridge Elementary (Bloomington, MN)
Poplar Grove 5-8 (Franklin, TN)
Poplar High School (Poplar, MT)
Poplar Springs High School (Graceville, FL)
Poplarville Career Development Ctr (Poplarville, MS)
Poplarville Jr Sr High School (Poplarville, MS)
Poplin Elementary (Indian Trail, NC)
Popplewell Elementary School (Buhl, ID)
Poquoson High (Poquoson, VA)
Por Vida Academy Charter H S (San Antonio, TX)
Por Vida Academy Corpus Christi (Corpus Christi, TX)
Porcupine Day School (Porcupine, SD)
Port Alexander School (Port Alexander, AK)
Port Allegany Jshs (Port Allegany, PA)
Port Allen High School (Port Allen, LA)
Port Angeles High School (Port Angeles, WA)
Port Aransas H S (Port Aransas, TX)
Port Arthur Alternative Center (Port Arthur, TX)
Port Barre High School (Port Barre, LA)
Port Byron Senior High School (Port Byron, NY)
Port Charlotte Adventist School (Port Charlotte, FL)
Port Charlotte High School (Port Charlotte, FL)
Port Chester Senior High School (Port Chester, NY)
Port Clinton High School (Port Clinton, OH)
Port Gardner (Everett, WA)
Port Gibson High School (Port Gibson, MS)
Port Graham School (Port Graham, AK)
Port Huron High School (Port Huron, MI)
Port Huron Northern High School (Port Huron, MI)
Port Huron Schools Phoenix Academy (Port Huron, MI)
Port Isabel H S (Port Isabel, TX)
Port Jervis Senior High School (Port Jervis, NY)
Port Lions School (Port Lions, AK)
Port Malabar Elementary School (Palm Bay, FL)
Port Monmouth Elementary School (Port Monmouth, NJ)
Port Neches-Groves H S (Port Neches, TX)
Port Norris Middle School (Port Norris, NJ)
Port O Connor El (Port O'Connor, TX)
Port Of Los Angeles High (San Pedro, CA)
Port Richmond High School (Staten Island, NY)
Port St. Joe Elementary School (Port St Joe, FL)
Port St. Joe High School (Port St Joe, FL)
Port St. Lucie High School (Port St Lucie, FL)
Port Susan Middle School (Stanwood, WA)
Port Townsend High School (Port Townsend, WA)
Port Washington High (Port Washington, WI)
Port Washington-Saukville School District Preschool (Port Washington, WI)
Porta High School (Petersburg, IL)
Portage Academy Of Achievement (Portage, WI)
Portage Area El Sch (Portage, PA)
Portage Area Jshs (Portage, PA)
Portage Central High School (Portage, MI)
Portage Community High School (Portage, MI)
Portage High (Portage, WI)
Portage High School (Portage, IN)
Portage Lakes Career Center (Uniontown, OH)
Portage Middle School (Fort Wayne, IN)
Portage Northern High School (Portage, MI)
Portage Park Elem School (Chicago, IL)
Portageville High (Portageville, MO)
Portal Middle/High School (Portal, GA)
Portales High (Portales, NM)
Porter Christian Academy (Porter, TX)
Porter Consolidated Es (Porter, OK)
Porter Consolidated HS (Porter, OK)
Porter County Career Center (Valparaiso, IN)
Porter County Education Services (Valparaiso, IN)
Porter Early College H S (Brownsville, TX)
Porter Elementary (Maryville, TN)
Porter Elementary School (Hagerhill, KY)
Porter H S (Porter, TX)
Porter Ridge High School (Indian Trail, NC)
Porter Ridge Middle School (Indian Trail, NC)
Porter-Gaud School (Charleston, SC)
Porterdale Elementary School (Covington, GA)
Porters Chapel Academy (Vicksburg, MS)
Porterville High (Porterville, CA)
Porterville Military Academy (Porterville, CA)
Portico River Brethren School (Chambersburg, PA)
Portland Adventist Academy (Portland, OR)
Portland Arthur Academy Charter School (Portland, OR)
Portland Arts & Technology H S (Portland, ME)
Portland Chinese School (Portland, OR)
Portland Christian School (Louisville, KY)
Portland Christian Schools (Portland, OR)
Portland High School (Portland, CT)
Portland High School (Portland, ME)
Portland High School (Portland, MI)
Portland High School (Portland, TN)
Portland Middle School (Portland, CT)
Portland Middle School (Portland, MI)
Portland Waldorf School (Milwaukie, OR)
Portland Youthbuilders (Portland, OR)
Portledge School (Locust Valley, NY)
Portola Elementary (San Bruno, CA)
Portola High (Irvine, CA)
Portola Junior/Senior High (Portola, CA)
Portola-Butler Continuation High (King City, CA)
Portsmouth Abbey School (Portsmouth, RI)
Portsmouth Christian Academy (Dover, NH)
Portsmouth Christian School (Portsmouth, VA)
Portsmouth High School (Portsmouth, NH)
Portsmouth High School (Portsmouth, RI)
Portsmouth Junior High School/Portsmouth High School (Portsmouth, OH)
Portsmouth Stem Academy (Portsmouth, OH)
Portsmouth West Elementary School (West Portsmouth, OH)
Portsmouth West High School (West Portsmouth, OH)
Portsmouth West Middle School (West Portsmouth, OH)
Portville Junior-Senior High School (Portville, NY)
Porum HS (Porum, OK)
Posen Consolidated High School (Posen, MI)
Positive Approach To Learning (Fairmont, MN)
Positive Day School (Burlington, NC)
Positive Outcomes Charter School (Camden, DE)
Positive Redirection Ctr (San Benito, TX)
Positive Solutions Charter (San Antonio, TX)
Post El (Post, TX)
Post Falls High School (Post Falls, ID)
Post Falls Middle School (Post Falls, ID)
Post H S (Post, TX)
Post HS Self-Cont (St George, UT)
Post Middle School (Arlington, WA)
Post Oak Middle (Spotsylvania, VA)
Post Road School (White Plains, NY)
Post Secondary Program (Westminster, MD)
Poston Butte High School (San Tan Valley, AZ)
Poteau HS (Poteau, OK)
Poteet H S (Mesquite, TX)
Poteet H S (Poteet, TX)
Potential Development Program School Of Autism (Youngstown, OH)
Poth H S (Poth, TX)
Potlatch Elementary School (Potlatch, ID)
Potlatch Jr/Sr High School (Potlatch, ID)
Potomac Falls High (Potomac Falls, VA)
Potomac Heights Elementary (Hagerstown, MD)
Potomac High (Dumfries, VA)
Potomac High (Oxon Hill, MD)
Potosi High (Potosi, MO)
Potosi High (Potosi, WI)
Potsdam Senior High School (Potsdam, NY)
Potter Gray Elementary (Bowling Green, KY)
Potter School (Flint, MI)
Potter Street Elementary School (Bainbridge, GA)
Potter Valley High (Potter Valley, CA)
Potter-Dix Jr/Sr High School (Potter, NE)
Potter'S Wheel Academy (Bradenton, FL)
Potterville Elementary School (Potterville, MI)
Potterville High School (Potterville, MI)
Potts Camp High School (4-12) (Potts Camp, MS)
Pottsboro H S (Pottsboro, TX)
Pottsboro Middle (Pottsboro, TX)
Pottsgrove Shs (Pottstown, PA)
Pottstown Ms (Pottstown, PA)
Pottstown Shs (Pottstown, PA)
Pottsville Area HS (Pottsville, PA)
Pottsville High School (Pottsville, AR)
Poudre Community Academy (Fort Collins, CO)
Poudre High School (Fort Collins, CO)
Poughkeepsie Day School (Poughkeepsie, NY)
Poughkeepsie High School (Poughkeepsie, NY)
Poulsbo Middle School (Poulsbo, WA)
Poultney High School (Poultney, VT)
Poway High (Poway, CA)
Powder Mill School (Southwick, MA)
Powder River Basin Children'S Center (Gillette, WY)
Powder River Co Dist High (Broadus, MT)
Powder Springs Elementary School (Powder Springs, GA)
Powdersville High (Greenville, SC)
Powell Academy For Success (Long Beach, CA)
Powell Butte Community Charter School (Powell Butte, OR)
Powell County Academy (Stanton, KY)
Powell County High School (Deer Lodge, MT)
Powell County High School (Stanton, KY)
Powell El (The Woodlands, TX)
Powell Elem (Centreville, VA)
Powell High School (Powell, TN)
Powell High School (Powell, WY)
Powell Junior High School (Mesa, AZ)
Powell Middle School (Powell, TN)
Powell Twp Elementary School (Big Bay, MI)
Powell Valley Elementary School (Gresham, OR)
Power Center Academy Elementary - Southeast (Memphis, TN)
Power Center Academy High School (Memphis, TN)
Power High School (Power, MT)
Power School (Power, MT)
Power Technical Early College (Colorado Springs, CO)
Powers Elementary School (Amherst, OH)
Powers Ferry Elementary School (Marietta, GA)
Powers High School (Powers, OR)
Powers Lake Elementary School (Powers Lake, ND)
Powers Lake High School (Powers Lake, ND)
Powhatan Elementary School (Powhatan Point, OH)
Powhatan High (Powhatan, VA)
Poyen High School (Poyen, AR)
Poynette Elementary (Poynette, WI)
Poynette High (Poynette, WI)
Ppep Tec - Alice S. Paul Learning Center (Casa Grande, AZ)
Ppep Tec - Celestino Fernandez Learning Center (Tucson, AZ)
Ppep Tec - Cesar Chavez Learning Center (San Luis, AZ)
Ppep Tec - Colin L. Powell Learning Center (Sierra Vista, AZ)
Ppep Tec - Jose Yepez Learning Center (Somerton, AZ)
Ppep Tec - Raul H. Castro Learning Center (Douglas, AZ)
Prada El (Laredo, TX)
Prague HS (Prague, OK)
Prairie Baptist School (Scotts, MI)
Prairie Care (Chaska, MN)
Prairie Care Brooklyn Park - Ihp (Brooklyn Park, MN)
Prairie Care Brooklyn Park Day Prg (Maple Grove, MN)
Prairie Care Edina - Php (Edina, MN)
Prairie Care Mankato (Mankato, MN)
Prairie Center Elem (Olathe, KS)
Prairie Central High School (Fairbury, IL)
Prairie Central Primary West (Chenoa, IL)
Prairie Christian Academy (Prairie Du Chien, WI)
Prairie City School (Prairie City, OR)
Prairie Creek Community School (Northfield, MN)
Prairie Creek Elementary (Olathe, KS)
Prairie Creek High School (Strasburg, CO)
Prairie Du Chien Correctional Inst (Prairie Du Chien, WI)
Prairie Du Chien High (Prairie Du Chien, WI)
Prairie Edge (Cedar Rapids, IA)
Prairie Elementary (Anderson, CA)
Prairie Elementary (Worthington, MN)
Prairie Elementary School (Belfield, ND)
Prairie Elementary School (Haysville, KS)
Prairie Farm High (Prairie Farm, WI)
Prairie Grove High School (Prairie Grove, AR)
Prairie Grove Junior High School (Crystal Lake, IL)
Prairie Heights Elementary School (Alta Vista, KS)
Prairie Heights Sr High School (Lagrange, IN)
Prairie High School (Brush Prairie, WA)
Prairie High School (Cedar Rapids, IA)
Prairie Hill Elementary School (Cedar Rapids, IA)
Prairie Hills Elementary School (Colorado Springs, CO)
Prairie Hills Elementary School (Thornton, CO)
Prairie Home High (Prairie Home, MO)
Prairie House School (Monticello, MN)
Prairie Jr/Sr High School (Cottonwood, ID)
Prairie Junior-Senior High School (New Raymer, CO)
Prairie Lakes Education Center (Willmar, MN)
Prairie Lea School (Prairie Lea, TX)
Prairie Norton Elementary School (Columbus, OH)
Prairie Oak School (Berwyn, IL)
Prairie Phoenix Academy (Sun Prairie, WI)
Prairie Ridge High School (Crystal Lake, IL)
Prairie Rose Elementary School (Bismarck, ND)
Prairie Run Elementary School (Sunbury, OH)
Prairie Seeds High School Academy (Brooklyn Park, MN)
Prairie Star Elementary (Leawood, KS)
Prairie Trail School (Wadsworth, IL)
Prairie Valley H S (Nocona, TX)
Prairie View Academy (Bastrop, LA)
Prairie View El (Rhome, TX)
Prairie View Elementary (North Prairie, WI)
Prairie View Elementary (Spokane, WA)
Prairie View Elementary School (Cedar Rapids, IA)
Prairie View High (Lacygne, KS)
Prairie View High School (Henderson, CO)
Prairie View School (Marshall, MO)
Prairie Vista Elementary School (Granger, IN)
Prairie Wind Elementary (Cheyenne, WY)
Prairie Winds Middle School (Mankato, MN)
Prairiecare (Rochester, MN)
Prairiecare Maplewood (Maplewood, MN)
Prairieville Primary School (Prairieville, LA)
Prairiland H S (Pattonville, TX)
Praise Power & Prayer Christian School (Windsor, CT)
Praise Temple Christian Academy (Groveland, FL)
Prass Elementary School (Kettering, OH)
Pratt Academy (Spokane Valley, WA)
Pratt Elementary School (Pratt, WV)
Pratt Sr High (Pratt, KS)
Prattsburgh Central School (Prattsburgh, NY)
Prattville Christian Academy (Prattville, AL)
Prattville Elementary School (Prattville, AL)
Prattville High School (Prattville, AL)
Prattville Intermediate School (Prattville, AL)
Pray-Woodman Elementary (Maize, KS)
Preble High (Green Bay, WI)
Preble Shawnee High School/Junior High School (Camden, OH)
Precious Haven Learning Academy (Raeford, NC)
Precision Academy (Phoenix, AZ)
Prek (Tallahassee, FL)
Prek Intervention (Miami, FL)
Prekindergarten North (Minneapolis, MN)
Premier Academy Morris (Morris, IL)
Premier Academy Morris Taoep (Morris, IL)
Premier Charter High School (Phoenix, AZ)
Premier Charter School (St Louis, MO)
Premier H S - San Angelo (San Angelo, TX)
Premier H S Houston Gallery North (Houston, TX)
Premier H S Odessa (Odessa, TX)
Premier H S Of Abilene (Abilene, TX)
Premier H S Of Amarillo (Amarillo, TX)
Premier H S Of Arlington (Arlington, TX)
Premier H S Of Austin (Austin, TX)
Premier H S Of Brownsville (Brownsville, TX)
Premier H S Of Comanche/Early (Early, TX)
Premier H S Of Dayton (Dayton, TX)
Premier H S Of Del Rio (Del Rio, TX)
Premier H S Of East El Paso (El Paso, TX)
Premier H S Of El Paso (El Paso, TX)
Premier H S Of Fort Worth (Ft Worth, TX)
Premier H S Of Granbury (Granbury, TX)
Premier H S Of Huntsville (Huntsville, TX)
Premier H S Of Laredo (Laredo, TX)
Premier H S Of Lubbock (Lubbock, TX)
Premier H S Of Midland (Midland, TX)
Premier H S Of Mission (Mission, TX)
Premier H S Of New Braunfels (New Braunfels, TX)
Premier H S Of North Austin (Austin, TX)
Premier H S Of North Houston (Houston, TX)
Premier H S Of Palmview (Palmview, TX)
Premier H S Of Pflugerville (Pflugerville, TX)
Premier H S Of Pharr (Pharr, TX)
Premier H S Of San Juan (San Juan, TX)
Premier H S Of South Irving (Irving, TX)
Premier H S Of Texarkana (Texarkana, TX)
Premier H S Of Tyler (Tyler, TX)
Premier H S Of Waco (Waco, TX)
Premier H S Online (Lewisville, TX)
Premier H S San Antonio - West (San Antonio, TX)
Premier H S San Antonio East (San Antonio, TX)
Premier High School Of Little Rock (Little Rock, AR)
Premier High School Of North Little Rock (North Little Rock, AR)
Premier High Schools Career & Technical Ed Center (Edinburg, TX)
Premont Collegiate H S (Premont, TX)
Prenger Family Ctr. (Jefferson City, MO)
Prentice Elementary (Prentice, WI)
Prentice High (Prentice, WI)
Prentice Middle (Prentice, WI)
Prentiss Christian School (Prentiss, MS)
Prentiss Co Voc Complex (Booneville, MS)
Prep Academy (Denver, CO)
Prepa Tec Los Angeles High (Bell, CA)
Preparatory Academy For Writers: A College Board School (Springfield Gardens, NY)
Preparatory Cs Of Mathematics Science Te (Philadelphia, PA)
Preparatory For Early College H S (Rio Grande City, TX)
Presbyterian Christian School (Hattiesburg, MS)
Presbyterian Pan American School (Kingsville, TX)
Preschool Infant Other (Brush Prairie, WA)
Prescott (Oakland, CA)
Prescott High (Prescott, WI)
Prescott High School (Prescott, AR)
Prescott High School (Prescott, AZ)
Prescott Jr Sr High (Prescott, WA)
Prescott South Middle School (Cookeville, TN)
Presentation Academy (Louisville, KY)
Presentation High School (San Jose, CA)
President Theodore Roosevelt High School (Honolulu, HI)
President William Mckinley High School (Honolulu, HI)
Presidential Park Elementary School (Middletown, NY)
Presidents Elementary (Arlington, WA)
Presidio H S (Presidio, TX)
Presidio High School (Boise, ID)
Presidio School (Tucson, AZ)
Presque Isle Academy (Onaway, MI)
Presque Isle High School (Presque Isle, ME)
Pressley Ridge @ Grant Gardens (Ona, WV)
Pressley Ridge At Laurel Park (Clarksburg, WV)
Pressley Ridge Day School - Greensburg (Greensburg, PA)
Pressley Ridge Day School - Pittsburgh (Pittsburgh, PA)
Pressley Ridge School For Autism (Pittsburgh, PA)
Pressley Ridge School For The Deaf Program (Pittsburgh, PA)
Pressly School (Statesville, NC)
Preston Hall Middle School (Waitsburg, WA)
Preston High School (Bronx, NY)
Preston High School (Kingwood, WV)
Preston High School (Preston, ID)
Preston HS (Okmulgee, OK)
Preston Plains School (Preston, CT)
Preston Veterans' Memorial School (Preston, CT)
Prestonsburg Elementary School (Prestonsburg, KY)
Prestonsburg High School (Prestonsburg, KY)
Prestonwood Christian Academy (Plano, TX)
Prestonwood Christian Academy Of Prosper (Prosper, TX)
Prestonwood Christian Academy Online (Plano, TX)
Prestonwood El (Dallas, TX)
Pretty Prairie High (Pretty Prairie, KS)
Preuss School Ucsd (La Jolla, CA)
Price (Adelaide) Elementary (Anaheim, CA)
Price (Hummelstown, PA)
Price Charter Middle (San Jose, CA)
Price Halfway House (Fort Myers, FL)
Priceville High School (Decatur, AL)
Prichard Elementary School (Prichard, WV)
Priddy School (Priddy, TX)
Pride Academy (Camden, NJ)
Pride Alter Sch (Huntington, TX)
Pride Continuation (Stockton, CA)
Pride Prep School (Spokane, WA)
Pride School (Westminster, MD)
Pride Transitions (Buffalo, MN)
Priest River Elementary School (Priest River, ID)
Priest River Lamanna High (Priest River, ID)
Priest Street (Leominster, MA)
Priestley Sch (Northumberland, PA)
Primary Center At Jefferson (Summit, NJ)
Primavera - Online (Chandler, AZ)
Primero Junior-Senior High School (Weston, CO)
Primitivo Garcia Elementary (Kansas City, MO)
Primoris Academy (Westwood, NJ)
Prince Avenue Christian School (Bogart, GA)
Prince Chapman Academy (Fort Wayne, IN)
Prince Edward County High (Farmville, VA)
Prince George High (Prince George, VA)
Prince Jonah Kalanianaole Elementary & Intermediate School (Papaikou, HI)
Prince Jonah Kuhio Elementary School (Honolulu, HI)
Prince Of Peace Catholic School (Clinton, IA)
Prince Of Peace Christian School (Carrollton, TX)
Prince Street School (Salisbury, MD)
Princess Anne High (Virginia Beach, VA)
Princess Anne Middle (Virginia Beach, VA)
Princess Nahienaena Elementary School (Lahaina, HI)
Princeton Area Learning Center (Princeton, MN)
Princeton Child Development Institute (Princeton, NJ)
Princeton Christian Academy (Princeton, IL)
Princeton Comm Primary School (Princeton, IN)
Princeton Community High School (Princeton, IN)
Princeton Day School (Princeton, NJ)
Princeton Educational Options (Princeton, MN)
Princeton Elementary (Orlando, FL)
Princeton Elementary (Princeton, CA)
Princeton Elementary School (Saint Clair Shores, MI)
Princeton H S (Princeton, TX)
Princeton High (Princeton, NC)
Princeton High School (Cincinnati, OH)
Princeton High School (Princeton, IL)
Princeton High School (Princeton, MN)
Princeton High School (Princeton, NJ)
Princeton House Charter (Orlando, FL)
Princeton Innovation Center (Cincinnati, OH)
Princeton International Schl Of Math And Science (Princeton, NJ)
Princeton Junior-Senior High (Princeton, CA)
Princeton Middle School (Princeton, WV)
Princeton Online Mn (Princeton, MN)
Princeton R-V Elem. (Princeton, MO)
Princeton R-V Jr.-Sr. High (Princeton, MO)
Princeton School (Birmingham, AL)
Princeton School (Princeton, WI)
Princeton Senior High School (Princeton, WV)
Princeville Elem School (Princeville, IL)
Princeville High School (Princeville, IL)
Principia School (Saint Louis, MO)
Prior Lake Christian Academy (Prior Lake, MN)
Prior Lake High School (Savage, MN)
Priority High School (Cincinnati, OH)
Priority Intervention Academy (Lubbock, TX)
Prisk Elementary (Long Beach, CA)
Prism Education Center (Fayetteville, AR)
Pritchett High School (Pritchett, CO)
Private School Services (Seattle, WA)
Privett Academy (Mercer Island, WA)
Pro-Vision Middle (Houston, TX)
Procter R. Hug High School (Reno, NV)
Proctor Academy (Andover, NH)
Proctor Junior/Senior High School (Proctor, VT)
Proctor Life (Proctor, MN)
Proctor Senior High (Proctor, MN)
Prodeo Academy St. Paul (Saint Paul, MN)
Profesor Rafael Alicea Vazquez (Josefina Linares) (Lares, PR)
Professional & Technical High School (Kissimmee, FL)
Professional Academy Magnet At Loften High School (Gainesville, FL)
Professional Childrens School (New York, NY)
Professional Pathways High School (Brooklyn, NY)
Professional Performing Arts High School (New York, NY)
Professor Juan Bosch Public School (New York, NY)
Profile Senior High School (Bethlehem, NH)
Progreso Early Childhood (Progreso, TX)
Progreso H S (Progreso, TX)
Progress Elementary School (Spokane Valley, WA)
Progress High School For Professional Careers (Brooklyn, NY)
Progress Park (Ann Arbor, MI)
Progress South Elem. (St Peters, MO)
Progressive Learning Academy (Roxboro, NC)
Project Compass (Orlando, FL)
Project Echo (Johnston City, IL)
Project Indian (Minooka, IL)
Project Insight (Macomb, IL)
Project More High School (Tucson, AZ)
Project Patch (Garden Valley, ID)
Project Patch School (Garden Valley, ID)
Project Restore (New Caney, TX)
Project Return (White Bear Lake, MN)
Project Search - Avera Mckennan 07 (Sioux Falls, SD)
Project Search (Circle Pines, MN)
Project Search (Cocoa Beach, FL)
Project Search (East Lansing, MI)
Project Search Mayo Clinic (Rochester, MN)
Project Search-Avera Marshall (Marshall, MN)
Project Soar Alternative Optional Ed Program (Murphysboro, IL)
Project Stay-Supporting Teachers And Youth (Milwaukee, WI)
Project Success Learning Center (Hayneville, AL)
Promenade Elementary (Corona, CA)
Promethean Charter School (Butternut, WI)
Promise Academy (Cleveland, OH)
Promise Road Elementary (Noblesville, IN)
Promised Land Academy For Christian Educat (Homestead, FL)
Propel Cs-Braddock Hills (Pittsburgh, PA)
Propel Cs-East (Turtle Creek, PA)
Propel Cs-Homestead (Homestead, PA)
Propel Cs-Montour (Pittsburgh, PA)
Propel Cs-Pitcairn (Pittsburgh, PA)
Prophetstown Elem School (Prophetstown, IL)
Prophetstown High School (Prophetstown, IL)
Prospect Charter School (Prospect, OR)
Prospect Community Day (Rancho Cordova, CA)
Prospect Elementary (Monroe, NC)
Prospect Elementary School (Hempstead, NY)
Prospect Elementary School (Meridian, ID)
Prospect Elementary School (Oberlin, OH)
Prospect Grove High School (Columbia, PA)
Prospect High (Continuation) (Oroville, CA)
Prospect High (Continuation) (Pleasant Hill, CA)
Prospect High (Saratoga, CA)
Prospect High School (Mt Prospect, IL)
Prospect Hill Academy Charter School (Cambridge, MA)
Prospect Mountain High School (Alton, NH)
Prospect Park Bnos Leah High School (Brooklyn, NY)
Prospect Park Sch (Prospect Park, PA)
Prospect Park School No. 1 (Prospect Park, NJ)
Prospect Ridge Academy (Broomfield, CO)
Prospect Valley Elementary School (Wheat Ridge, CO)
Prospects High (Alternative) (Antioch, CA)
Prosper Daep (Prosper, TX)
Prosper H S (Prosper, TX)
Prosperitas Leadership Academy Charter (Orlando, FL)
Prosser Career Academy HS (Chicago, IL)
Prosser Career Education Center (New Albany, IN)
Prosser High School (Prosser, WA)
Prosser Opportunity Academy (Prosser, WA)
Protestant Reformed/Heritage Christian Schools (Dyer, IN)
Prove High School (Lake Stevens, WA)
Providence (Oxnard, CA)
Providence Academy (Johnson City, TN)
Providence Career Technical (Providence, RI)
Providence Catholic High School (New Lenox, IL)
Providence Catholic School (San Antonio, TX)
Providence Christian Academy (Georgetown, KY)
Providence Christian Academy (Murfreesboro, TN)
Providence Christian Academy (Scotland, PA)
Providence Christian Academy Inc (Starke, FL)
Providence Christian Preparatory School (Orlando, FL)
Providence Christian School (Riverview, FL)
Providence Christian School Nw (Ferndale, WA)
Providence Classical Christian Academy (Rogers, AR)
Providence Classical Christian Academy (Saint Louis, MO)
Providence Classical Christian School (Bothell, WA)
Providence Classical Christian School (Oxford, GA)
Providence Classical School (Spring, TX)
Providence Classical School (Williamsburg, VA)
Providence Community School (Sarasota, FL)
Providence Country Day School (East Providence, RI)
Providence Cristo Rey High School (Indianapolis, IN)
Providence Day School (Charlotte, NC)
Providence Education Group Llc (Tequesta, FL)
Providence Elem (Fairfax, VA)
Providence Elementary (Huntsville, AL)
Providence Grove High School (Climax, NC)
Providence Hall (Herriman, UT)
Providence Hebrew Day School (Providence, RI)
Providence High School (Burbank, CA)
Providence High School (Chandler, AZ)
Providence High School (Charlotte, NC)
Providence Preparatory Academy (Wilmington, NC)
Providence Preparatory School (Belton, TX)
Providence School (Jacksonville, FL)
Providence School (Santa Barbara, CA)
Providence St. Mel School (Chicago, IL)
Providence, A Christ Mon Co (Burlington, NC)
Providencia Elementary (Burbank, CA)
Provident Cs (Pittsburgh, PA)
Providing Urban Learners Success In Education High School (Bronx, NY)
Provincetown Schools (Provincetown, MA)
Provine High School (Jackson, MS)
Provisional Accelerated Learning Academy (San Bernardino, CA)
Proviso Area Except Child Center (Maywood, IL)
Proviso East High School (Maywood, IL)
Proviso Math And Science Academy (Forest Park, IL)
Proviso Thsd 209 Dream School (Hillside, IL)
Proviso West High School (Hillside, IL)
Provo Adult Education (Provo, UT)
Provo Canyon School - Springville Campus (Springville, UT)
Provo Eschool (Provo, UT)
Provo High (Provo, UT)
Provost School (Provo, UT)
Prue HS (Prue, OK)
Pruette Scale Academy (High Point, NC)
Prussing Elem School (Chicago, IL)
Pryor HS (Pryor, OK)
Ps 1 Alfred E Smith (New York, NY)
Ps 1 Bergen (The) (Brooklyn, NY)
Ps 1 Courtlandt School (Bronx, NY)
Ps 10 (Bronx, NY)
Ps 101 School In The Gardens (Forest Hills, NY)
Ps 103 Hector Fontanez (Bronx, NY)
Ps 105 Bay School (The) (Far Rockaway, NY)
Ps 107 John W Kimball (Brooklyn, NY)
Ps 108 Captain Vincent G Fowler (South Ozone Park, NY)
Ps 108 Philip J Abinanti (Bronx, NY)
Ps 109 (Brooklyn, NY)
Ps 11 William T Harris (New York, NY)
Ps 110 (Corona, NY)
Ps 111 Jacob Blackwell (Long Island City, NY)
Ps 114 Ryder Elementary (Brooklyn, NY)
Ps 116 Mary Lindley Murray (New York, NY)
Ps 12 Lewis And Clark School (Bronx, NY)
Ps 123 Mahalia Jackson (New York, NY)
Ps 124 Yung Wing (New York, NY)
Ps 125 Ralph Bunche (New York, NY)
Ps 126 Jacob August Riis (New York, NY)
Ps 13 M L Lindemeyer (Staten Island, NY)
Ps 131 (Brooklyn, NY)
Ps 132 Conselyea School (The) (Brooklyn, NY)
Ps 134 Hollis (Hollis, NY)
Ps 138 (New York, NY)
Ps 140 Edward K Ellington (Jamaica, NY)
Ps 140 Nathan Straus (New York, NY)
Ps 141 (Brooklyn, NY)
Ps 142 Amalia Castro (New York, NY)
Ps 144 Col Jeromus Remsen (Forest Hills, NY)
Ps 145 Andrew Jackson (Brooklyn, NY)
Ps 146 Howard Beach (Howard Beach, NY)
Ps 150 Christopher (Brooklyn, NY)
Ps 151 Lyndon B Johnson (Brooklyn, NY)
Ps 151 Mary D Carter (Woodside, NY)
Ps 153 Helen Keller (Bronx, NY)
Ps 153 Homecrest (Brooklyn, NY)
Ps 154 Jonathan D Hyatt (Bronx, NY)
Ps 155 William Paca (New York, NY)
Ps 159 (Bayside, NY)
Ps 16 (Troy, NY)
Ps 16 John J Driscoll (Staten Island, NY)
Ps 161 Arthur Ashe School (Jamaica, NY)
Ps 166 Richard Rogers School Of The Arts & Science (The) (New York, NY)
Ps 168 (Bronx, NY)
Ps 169 Robert F Kennedy (New York, NY)
Ps 17 (Bronx, NY)
Ps 17 (Buffalo, NY)
Ps 173 (New York, NY)
Ps 176 (Bronx, NY)
Ps 177 (Flushing, NY)
Ps 18 Edward Bush (Brooklyn, NY)
Ps 18 Park Terrace (New York, NY)
Ps 18 Winchester (Queens Village, NY)
Ps 182 Samantha Smith (Jamaica, NY)
Ps 183 Robert L Stevenson (New York, NY)
Ps 188 (Bronx, NY)
